OrderID,OrderDate,PropertyID,ProductID,Quantity,Sales,ProductName,ProductCategory,Price,PropertyCity,PropertyState
1,01-01-2015,17,41,1,85,Office Chair,Furnishings,85,Las Vegas,Nevada
2,01-01-2015,15,54,2,300,Chest of Drawers,Furnishings,150,Chicago,Illinois
3,01-01-2015,5,71,2,34,Hammer,Maintenance,17,Kansas City,Missouri
4,01-01-2015,19,3,2,6,Washcloth,Housekeeping,3,Los Angeles,California
5,01-01-2015,12,45,3,306,Computer Desk,Furnishings,102,Dallas,Texas
6,01-01-2015,6,94,2,140,Monitor,Public Areas,70,Orlando,Florida
7,01-01-2015,5,35,2,50,Tissue Box,Furnishings,25,Kansas City,Missouri
8,02-01-2015,16,93,1,85,Terminal,Public Areas,85,Denver,Colorado
9,02-01-2015,4,93,3,255,Terminal,Public Areas,85,Seattle,Washington
10,02-01-2015,2,61,2,16,Tape Measure,Maintenance,8,Cincinnati,Ohio
11,02-01-2015,2,24,1,24,Envelopes (Letter),Office Supplies,24,Cincinnati,Ohio
12,02-01-2015,8,23,1,85,Printer Toner,Office Supplies,85,Philadelphia,Pennsylvania
13,02-01-2015,12,24,2,48,Envelopes (Letter),Office Supplies,24,Dallas,Texas
14,03-01-2015,4,94,3,210,Monitor,Public Areas,70,Seattle,Washington
15,03-01-2015,16,20,2,60,Pens,Office Supplies,30,Denver,Colorado
16,03-01-2015,2,94,3,210,Monitor,Public Areas,70,Cincinnati,Ohio
17,03-01-2015,19,84,1,75,Tall Chair,Public Areas,75,Los Angeles,California
18,03-01-2015,9,89,2,90,Photograph,Public Areas,45,Richmond,Virginia
19,03-01-2015,20,21,3,150,Printer Paper,Office Supplies,50,San Francisco,California
20,03-01-2015,1,6,1,40,Conditioner,Housekeeping,40,New York,New York
21,03-01-2015,8,57,3,210,Wireless Router,Furnishings,70,Philadelphia,Pennsylvania
22,03-01-2015,4,70,2,234,Door Lock,Maintenance,117,Seattle,Washington
23,04-01-2015,17,24,1,24,Envelopes (Letter),Office Supplies,24,Las Vegas,Nevada
24,04-01-2015,14,23,2,170,Printer Toner,Office Supplies,85,Nashville,Tennessee
25,04-01-2015,12,52,1,18,Ironing Board,Furnishings,18,Dallas,Texas
26,04-01-2015,17,84,2,150,Tall Chair,Public Areas,75,Las Vegas,Nevada
27,04-01-2015,10,74,1,35,Large Plant,Public Areas,35,Arlington,Virginia
28,05-01-2015,10,33,3,30,Towel Rack,Furnishings,10,Arlington,Virginia
29,05-01-2015,5,73,2,30,Mop,Maintenance,15,Kansas City,Missouri
30,05-01-2015,2,5,1,40,Moisturizer,Housekeeping,40,Cincinnati,Ohio
31,05-01-2015,11,79,2,206,Coffee Table,Public Areas,103,Atlanta,Georgia
32,06-01-2015,20,44,1,55,Floor Lamp,Furnishings,55,San Francisco,California
33,06-01-2015,9,64,1,27,Gaffer's Tape,Maintenance,27,Richmond,Virginia
34,06-01-2015,18,10,2,38,Toilet Paper,Housekeeping,19,Phoenix,Arizona
35,06-01-2015,1,87,1,30,End Table,Public Areas,30,New York,New York
36,06-01-2015,2,37,2,600,Bed (King),Furnishings,300,Cincinnati,Ohio
37,06-01-2015,3,23,3,255,Printer Toner,Office Supplies,85,Portland,Oregon
38,06-01-2015,8,37,3,900,Bed (King),Furnishings,300,Philadelphia,Pennsylvania
39,06-01-2015,10,30,3,18,Permanent Markers,Office Supplies,6,Arlington,Virginia
40,06-01-2015,19,83,2,120,Bar Stool,Public Areas,60,Los Angeles,California
41,07-01-2015,13,19,2,34,Light Bulb,Housekeeping,17,New Orleans,Louisiana
42,07-01-2015,10,27,2,16,Invisible Tape,Office Supplies,8,Arlington,Virginia
43,07-01-2015,5,87,3,90,End Table,Public Areas,30,Kansas City,Missouri
44,07-01-2015,1,19,2,34,Light Bulb,Housekeeping,17,New York,New York
45,07-01-2015,9,23,2,170,Printer Toner,Office Supplies,85,Richmond,Virginia
46,08-01-2015,6,28,2,16,Staples,Office Supplies,8,Orlando,Florida
47,08-01-2015,14,47,3,225,Swivel Chair,Furnishings,75,Nashville,Tennessee
48,08-01-2015,18,58,1,85,Mirror,Furnishings,85,Phoenix,Arizona
49,08-01-2015,15,13,3,60,Bed Sheet (Double),Housekeeping,20,Chicago,Illinois
50,08-01-2015,19,91,2,28,Small Sign,Public Areas,14,Los Angeles,California
51,08-01-2015,5,67,2,20,Adjustable Wrench,Maintenance,10,Kansas City,Missouri
52,08-01-2015,10,25,3,84,Envelopes (Legal),Office Supplies,28,Arlington,Virginia
53,09-01-2015,8,51,3,255,Painting,Furnishings,85,Philadelphia,Pennsylvania
54,09-01-2015,5,24,2,48,Envelopes (Letter),Office Supplies,24,Kansas City,Missouri
